Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000027016.17,Zfp385b,2.95,2.57,6.74,7.54,7,0.56,1.22,-1.2060789641,-2.4395711858,0.433445057,0.1843384352,0.006788649
ENSMUSG00000027102.4,Hoxd8,2.75,2,7.8,5.96,8.13,1.89,1.98,-1.4525788356,-1.4422563276,0.3653677405,0.3679913277,0.0241634391
ENSMUSG00000027318.17,Adam33,1.59,3.8,9.59,7.81,8.49,2.36,1.82,-1.5168759214,-1.5744539209,0.3494417953,0.3357701951,0.0081632078
ENSMUSG00000027380.10,Acoxl,14.12,11.55,31.84,27.31,28.08,1.54,0.53,-1.0539378991,-4.2572630928,0.4816516793,0.0522921032,6.19436474944296E-06
ENSMUSG00000027713.6,1810062G17Rik,1.18,1.03,4.63,3.38,4,0.45,0.79,-1.6303105848,-2.0932655875,0.3230186604,0.2343496284,0.0481303109
ENSMUSG00000027750.16,Postn,40.4,37.81,85.07,103.16,101.58,37.45,33.48,-1.1849186419,-1.0197599191,0.4398493417,0.4931984192,9.18033854751125E-05
ENSMUSG00000027833.16,Shox2,4.19,3.38,8.94,13.41,9.31,2,2.56,-1.3318557112,-1.7406653052,0.3972569291,0.2992316523,0.0032681924
ENSMUSG00000027848.12,Olfml3,7.24,7.05,20.25,16.93,18.18,4.61,4.63,-1.2356729702,-1.551944815,0.4246443706,0.3410500041,0.0001976252
ENSMUSG00000027869.14,Hsd3b6,7.28,5.61,29.77,24.47,29.95,1.18,1.18,-1.9829588157,-4.0334225518,0.2529705216,0.0610687213,0.000005839
ENSMUSG00000028195.4,Cyr61,17.36,19.12,65.62,68.84,60.89,18.12,19.12,-1.7101675878,-1.3762066319,0.3056245651,0.3852303751,4.40690702700649E-07
ENSMUSG00000028480.14,Glipr2,3.19,2.79,9.63,11.27,8.38,3.6,3.32,-1.5483377042,-1.049101398,0.3419037842,0.4832690814,0.0124002842
ENSMUSG00000028597.11,Gpx7,15.69,12.06,40.67,39.31,35.27,10.57,9.78,-1.3427595333,-1.4823138859,0.3942657973,0.3579143057,5.11864147995569E-06
ENSMUSG00000028641.16,P3h1,5.34,6.51,16.01,13.67,10.23,3.31,2.45,-1.0325269303,-1.746841978,0.4888531553,0.2979532774,0.0019992747
ENSMUSG00000029061.2,Mmp23,8.22,6.5,32.96,28.91,26.02,8.29,7.02,-1.8564537709,-1.4987241594,0.2761542487,0.3538661922,1.10147309929813E-05
