gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
9330171B17Rik,0.987126376,0.241798905,0.584088079,0.184146068,0.386564859,0.160408071,4.0293956,5.51505405,3.437580917,3.801659347,3.8200229,4.585162549,4.860814721,1.879171989,1.330681593
Cnot4,151.3170648,154.0531065,162.1320462,41.17279823,39.99983152,38.29966172,362.1216244,404.7083617,345.5655345,358.7451318,355.7498075,383.1337871,412.7937469,87.13744154,201.074932
Ppp2r4,1.653166806,1.51650227,1.209727145,0.106300257,0.104352688,0.190953383,1.780735221,1.659583118,0.851116514,1.507469042,0.572282785,1.461763271,1.598461221,0.115286541,0.101111475
Zcrb1,2.247533055,2.774161675,2.505946646,11.68715256,13.0540609,11.34272848,40.32817473,48.38451026,28.41071953,31.82386643,30.33037936,36.22388295,38.0443789,3.864544878,6.994475713
Gm11529,3.385290549,5.153411535,4.289982749,0.127547894,4.833281181,5.030501715,20.68954156,18.5329202,15.79880527,17.14595071,15.78491242,21.94147061,18.3356318,4.90817405,6.372801296
Pramel5,7.366641715,4.874783669,5.212385638,1.028231797,0.977328661,0.493432312,7.616493237,7.440371691,5.209112209,5.791266939,5.396804576,8.376293486,10.68170177,0.897367422,0.997396438
Plk4,18.69428505,26.97716665,22.75430279,3.549896503,2.185923687,2.840408099,25.83356137,29.79165827,18.24912986,19.02372927,21.06929811,26.19395729,26.02674288,8.084628622,5.894867725
Insig1,0.465495717,2.343847313,1.163871685,53.8733503,58.49050947,49.98071119,1629.403268,2028.315869,854.7003779,824.2604299,838.5773341,1166.350022,1376.944562,96.31362794,77.49412479
Ccrl2,1.385294763,3.536831394,1.732038011,49.68398485,50.90268385,48.26081576,2254.209739,2717.805475,918.6559789,874.6887788,900.2206946,1338.084217,1559.146423,127.4460104,94.79093007
Chd7,2.37935761,14.85421962,3.302297528,348.0884743,343.0223692,335.6433657,2278.915365,2953.568584,1486.380603,1436.698722,1296.710362,1825.50719,2029.349494,802.838184,444.4829253
Shroom2,18.67514057,28.7998113,10.98639573,372.6317078,360.8123086,398.9120453,8665.846078,8421.082271,2841.611172,2647.003667,2765.923225,4031.095831,4870.158501,871.7418943,722.702081
Mir338,28.52579398,60.38754545,20.72296325,831.4107835,786.7072779,830.9697286,7109.018083,7253.772094,4054.388248,3735.100157,3959.660025,4444.337389,5495.108878,1871.073559,1427.680905
Mir370,10.051874,15.2797817,10.7152706,1.33589189,4.031924717,3.593416372,137.7905505,130.2663765,71.90736001,71.73972203,82.9990322,115.8514836,93.37235183,70.52515368,56.95896319
Mir135a-1,53.24179069,50.81977038,37.39817306,17.72351413,19.60566942,19.04900934,418.711938,416.1722473,255.4006637,264.4801484,258.4179469,423.235043,309.5024419,254.748778,143.4025557
Mir145a,61.92873671,56.62170447,44.58371608,21.34266756,24.04901678,19.61673867,467.4400799,468.4862754,323.3627086,316.08413,331.9791814,510.9191609,380.1007182,274.113365,169.6303263
Mir181a-1,46.89302337,45.74878427,35.77907063,24.52387721,24.19121215,22.39330937,364.301881,387.5848528,197.2080383,214.3649635,224.6343824,315.1154068,257.3542351,231.0631106,168.9129954
Mir365-1,70.35462477,62.74281836,48.10456995,18.20457285,18.60763561,16.77497792,466.432284,491.5705488,272.2520284,295.3495677,298.5593164,479.3112579,343.5898304,291.8354991,176.9230471
Gm25259,117.5314671,96.19546393,79.58187364,37.86584038,31.31826684,34.89597784,733.4355518,759.9067605,406.4838464,386.6629944,427.2004609,625.5996149,503.9226114,466.7204233,257.2937257
Mir204,120.6887026,98.23219,80.68067068,19.56349806,22.92611009,23.95683781,842.5815612,778.227431,357.8921208,367.72227,390.0285442,634.4376539,524.9131747,412.9712063,228.5318669
Arfgap1,1.102461675,1.561133338,1.473775575,0.555776169,0.548221587,0.77041923,12.06347143,11.65801834,5.53189836,6.19810357,5.122135104,8.947645217,8.622619724,1.883596703,1.732906574
Gm10486,4.614254558,4.78365887,4.541924078,2.347833017,3.421798266,1.42816919,17.70737101,16.03937158,12.38808342,10.97549719,12.96065463,15.91160265,21.26039546,9.003427698,8.118505978
Gm23105,46.67916461,36.26904535,52.24886573,28.83551932,25.24180219,32.68408752,117.8145176,107.0203486,71.29329283,74.80528355,72.51214422,153.3335048,127.9535917,49.84687103,37.25250584
Gm17080,0.078883583,0.129368696,0,2.78E-17,2.78E-17,2.78E-17,1.003916019,1.035176429,0.298590952,0.217510984,0.24688369,0.587988694,0.316469512,0.710948355,0.846290769
Spaca3,13.61910304,14.75502456,10.42620251,35.25317768,35.68874237,33.34503373,560.384981,716.3030723,440.447793,458.9391941,423.1702962,199.5706367,199.1895452,696.7824768,532.2294237
Kcnmb1,0.289870988,0.466161965,0.4497196,1.086106168,1.181530149,0.676799642,3.495438031,3.005910081,2.48153199,1.887771297,1.721078136,0.453607521,0.367665709,2.715500499,2.277139056
